년,월,일,시,Gwang-bok,On-cheon,Jeon-po,Hak-Jang
2014,1,1,1,0.023,0.015,0.016,0.015
2014,1,1,2,0.023,0.014,0.015,0.015
2014,1,1,3,0.017,0.012,0.016,0.008
2014,1,1,4,0.018,0.012,0.016,0.008
2014,1,1,5,0.019,0.011,0.017,0.013
2014,1,1,6,0.019,0.014,0.021,0.011
2014,1,1,7,0.02,0.016,0.023,0.017
2014,1,1,8,0.017,0.017,0.024,0.014
2014,1,1,9,0.024,0.018,0.029,0.015
2014,1,1,10,0.02,0.018,0.024,0.009
2014,1,1,11,0.019,0.016,0.016,0.01
2014,1,1,12,0.014,0.016,0.015,0.008
2014,1,1,13,0.016,0.014,0.012,0.008
2014,1,1,14,0.018,0.014,0.013,0.008
2014,1,1,15,0.018,0.015,0.015,0.008
2014,1,1,16,0.016,0.017,0.013,0.006
2014,1,1,17,0.018,0.019,0.013,0.007
2014,1,1,18,0.023,0.018,0.017,0.009
2014,1,1,19,0.018,0.016,0.02,0.009
2014,1,1,20,0.019,0.017,0.027,0.012
2014,1,1,21,0.023,0.016,0.031,0.012
2014,1,1,22,0.021,0.02,0.039,0.016
2014,1,1,23,0.025,0.014,0.038,0.015
2014,1,1,24,0.023,0.016,0.039,0.013
2014,1,2,1,0.021,0.02,0.031,0.012
2014,1,2,2,0.021,0.015,0.028,0.01
2014,1,2,3,0.021,0.017,0.028,0.012
2014,1,2,4,0.026,0.018,0.024,0.017
2014,1,2,5,0.029,0.018,0.024,0.021
2014,1,2,6,0.032,0.023,0.033,0.022
2014,1,2,7,0.042,0.029,0.036,0.025
2014,1,2,8,0.043,0.038,0.037,0.026
2014,1,2,9,0.041,0.034,0.037,0.034
2014,1,2,10,0.023,0.03,0.027,0.039
2014,1,2,11,0.017,0.023,0.025,0.022
2014,1,2,12,0.022,0.018,0.021,0.017
2014,1,2,13,0.016,0.019,0.016,0.01
2014,1,2,14,0.016,0.019,0.015,0.011
2014,1,2,15,0.014,0.019,0.017,0.013
2014,1,2,16,점검,0.024,0.017,0.014
2014,1,2,17,0.028,0.022,0.018,0.017
2014,1,2,18,0.041,0.021,0.033,0.024
2014,1,2,19,0.054,점검,0.042,0.024
2014,1,2,20,0.051,0.023,0.042,0.023
2014,1,2,21,0.05,0.028,0.042,0.024
2014,1,2,22,0.046,0.027,0.043,0.026
2014,1,2,23,0.052,0.026,0.043,0.026
2014,1,2,24,0.048,0.025,0.042,0.025
2014,1,3,1,0.04,0.022,0.04,0.024
2014,1,3,2,0.021,0.02,0.039,0.02
2014,1,3,3,0.016,0.019,0.038,0.025
2014,1,3,4,0.012,0.019,0.037,0.021
2014,1,3,5,0.018,0.018,0.035,0.019
2014,1,3,6,0.017,0.019,0.035,0.023
2014,1,3,7,0.024,0.033,0.034,0.021
2014,1,3,8,0.036,0.027,0.035,0.028
2014,1,3,9,0.056,0.031,0.037,0.031
2014,1,3,10,0.058,0.031,0.038,0.027
2014,1,3,11,0.038,0.038,점검,0.027
2014,1,3,12,0.032,0.032,0.037,0.028
2014,1,3,13,0.031,0.031,0.025,0.024
2014,1,3,14,0.033,0.027,0.032,0.023
2014,1,3,15,0.037,0.026,0.035,0.024
2014,1,3,16,0.039,0.028,0.04,0.025
2014,1,3,17,0.052,0.025,0.044,0.029
2014,1,3,18,0.06,0.028,0.049,0.032
2014,1,3,19,0.061,0.027,0.047,0.032
2014,1,3,20,0.062,0.029,0.046,0.03
2014,1,3,21,0.06,0.028,0.046,0.028
2014,1,3,22,0.057,0.029,0.045,0.031
2014,1,3,23,0.051,0.027,0.045,0.032
2014,1,3,24,0.05,0.023,0.045,0.028
2014,1,4,1,0.035,0.022,0.043,0.028
2014,1,4,2,0.023,0.02,0.04,0.028
2014,1,4,3,0.025,0.021,0.038,0.022
2014,1,4,4,0.028,0.02,0.036,0.021
2014,1,4,5,0.025,0.021,0.035,0.022
2014,1,4,6,0.028,0.022,0.036,0.041
2014,1,4,7,0.018,0.041,0.038,0.024
2014,1,4,8,0.031,0.037,0.036,0.027
2014,1,4,9,0.038,0.026,0.035,0.031
2014,1,4,10,0.031,0.026,0.033,0.028
2014,1,4,11,0.026,0.022,0.03,0.02
2014,1,4,12,0.033,0.021,0.033,0.016
2014,1,4,13,0.027,0.019,0.027,0.014
2014,1,4,14,0.031,0.023,0.025,0.014
2014,1,4,15,0.03,0.023,0.021,0.016
2014,1,4,16,0.027,0.02,0.017,0.014
2014,1,4,17,0.031,0.021,0.017,0.014
2014,1,4,18,0.038,0.029,0.025,0.019
2014,1,4,19,0.038,0.035,0.023,0.018
2014,1,4,20,0.036,0.023,0.021,0.019
2014,1,4,21,0.027,0.019,0.019,0.016
2014,1,4,22,0.026,0.022,0.018,0.011
2014,1,4,23,0.021,0.019,0.016,0.011
2014,1,4,24,0.018,0.016,0.016,0.012
2014,1,5,1,0.013,0.015,0.015,0.01
2014,1,5,2,0.01,0.011,0.012,0.008
2014,1,5,3,0.008,0.014,0.009,0.009
2014,1,5,4,0.008,0.012,0.01,0.01
2014,1,5,5,0.011,0.011,0.01,0.01
2014,1,5,6,0.014,0.031,0.021,0.01
2014,1,5,7,0.017,0.023,0.028,0.014
2014,1,5,8,0.015,0.02,0.029,0.017
2014,1,5,9,0.015,0.023,0.028,0.015
2014,1,5,10,0.015,0.02,0.025,0.011
2014,1,5,11,0.017,0.021,0.02,0.009
2014,1,5,12,0.015,0.018,0.017,0.009
2014,1,5,13,0.017,0.018,0.015,0.007
2014,1,5,14,0.015,0.018,0.014,0.008
2014,1,5,15,0.014,0.018,0.013,0.008
2014,1,5,16,0.015,0.02,0.015,0.009
2014,1,5,17,0.017,0.018,0.018,0.01
2014,1,5,18,0.022,0.018,0.02,0.012
2014,1,5,19,0.018,0.019,0.02,0.014
2014,1,5,20,0.024,0.018,0.023,0.015
2014,1,5,21,0.026,0.019,0.022,0.019
2014,1,5,22,0.02,0.018,0.023,0.015
2014,1,5,23,0.023,0.015,0.02,0.013
2014,1,5,24,0.014,0.015,0.014,0.008
2014,1,6,1,0.011,0.011,0.012,0.008
2014,1,6,2,0.012,0.011,0.011,0.008
2014,1,6,3,0.013,0.014,0.012,0.009
2014,1,6,4,0.016,0.017,0.014,0.01
2014,1,6,5,0.017,0.016,0.022,0.013
2014,1,6,6,0.02,0.018,0.032,0.016
2014,1,6,7,0.027,0.04,0.039,0.023
2014,1,6,8,0.039,0.035,0.041,0.027
2014,1,6,9,0.038,0.032,0.041,0.026
2014,1,6,10,0.029,0.028,0.039,0.026
2014,1,6,11,0.026,0.023,0.038,0.024
2014,1,6,12,0.027,0.021,0.023,0.02
2014,1,6,13,0.026,0.022,0.026,0.017
2014,1,6,14,0.032,0.022,0.024,0.014
2014,1,6,15,0.039,0.025,0.029,0.016
2014,1,6,16,점검,0.027,0.038,0.019
2014,1,6,17,0.047,0.026,0.042,0.024
2014,1,6,18,0.049,0.03,0.049,0.03
2014,1,6,19,0.06,0.029,0.052,0.031
2014,1,6,20,0.06,0.029,0.052,0.029
2014,1,6,21,0.052,0.033,0.052,0.028
2014,1,6,22,0.054,0.032,0.051,0.028
2014,1,6,23,0.055,0.028,0.049,0.027
2014,1,6,24,0.046,0.027,0.047,0.027
2014,1,7,1,0.03,0.022,0.047,0.026
