측정소,년,월,일,시,CO,NO₂,PM10,PM2.5,Temp,direction(wind),speed(wind),Precipitation
801 온천동,2014,1,1,1,1.1,0.015,96,,7.3,283.3,6.1,0
801 온천동,2014,1,1,2,0.9,0.014,101,,6.5,296.6,6.4,0
801 온천동,2014,1,1,3,0.8,0.012,104,,6.6,289,6.7,0
801 온천동,2014,1,1,4,0.8,0.012,119,,6.2,309.3,5.2,0
801 온천동,2014,1,1,5,0.8,0.011,128,,5.9,292.3,7.7,0
801 온천동,2014,1,1,6,0.7,0.014,117,,5.8,297.8,7,0
801 온천동,2014,1,1,7,0.6,0.016,127,,5.5,287.5,4.3,0
801 온천동,2014,1,1,8,0.5,0.017,127,,5.2,313.8,4.3,0
801 온천동,2014,1,1,9,0.6,0.018,132,,4.3,308.9,1.4,0
801 온천동,2014,1,1,10,0.8,0.018,133,,5.1,272,2.4,0
801 온천동,2014,1,1,11,1.2,0.016,136,,5.7,286.9,3.5,0
801 온천동,2014,1,1,12,1.2,0.016,126,,6.6,273.3,4,0
801 온천동,2014,1,1,13,1.2,0.014,90,,7.7,290.9,4.5,0
801 온천동,2014,1,1,14,1.2,0.014,83,,8.2,274.3,5.3,0
801 온천동,2014,1,1,15,1.1,0.015,98,,8.8,295.9,5.9,0
801 온천동,2014,1,1,16,1.1,0.017,97,,9.2,296.1,6.1,0
801 온천동,2014,1,1,17,1.2,0.019,90,,9,312.2,5.2,0
801 온천동,2014,1,1,18,1.1,0.018,91,,8.8,288.6,5.4,0
801 온천동,2014,1,1,19,1,0.016,77,,8.5,295.8,4.2,0
801 온천동,2014,1,1,20,0.9,0.017,70,,7.9,291.8,3.8,0
801 온천동,2014,1,1,21,0.9,0.016,76,,7.9,286.4,3.8,0
801 온천동,2014,1,1,22,0.8,0.02,103,,8.1,278.3,4.7,0
801 온천동,2014,1,1,23,0.7,0.014,79,,7.5,289,3.3,0
801 온천동,2014,1,1,24,0.8,0.016,96,,7.4,277.7,1.9,0
801 온천동,2014,1,2,1,1.1,0.02,113,,6.3,311.7,1.4,0
801 온천동,2014,1,2,2,1,0.015,125,,6.6,295,3.1,0
801 온천동,2014,1,2,3,0.9,0.017,121,,6.7,295.9,2.4,0
801 온천동,2014,1,2,4,0.8,0.018,114,,6.1,304.8,2,0
801 온천동,2014,1,2,5,0.8,0.018,109,,4.3,104,1.2,0
801 온천동,2014,1,2,6,0.8,0.023,96,,3.8,67.5,1.6,0
801 온천동,2014,1,2,7,0.9,0.029,114,,4.1,106,1.2,0
801 온천동,2014,1,2,8,1.2,0.038,133,,3.7,288.9,0.5,0
801 온천동,2014,1,2,9,1.7,0.034,171,,2.2,0,0.1,0
801 온천동,2014,1,2,10,1.3,0.03,197,,4.4,325.9,0.5,0
801 온천동,2014,1,2,11,1.3,0.023,164,,6.8,280.8,1.7,0
801 온천동,2014,1,2,12,1.3,0.018,106,,7.2,322.9,2.3,0
801 온천동,2014,1,2,13,1.3,0.019,81,,8.5,314,2.3,0
801 온천동,2014,1,2,14,1.2,0.019,64,,8.4,335.9,2.8,0
801 온천동,2014,1,2,15,1.2,0.019,67,,8.9,289.4,3.2,0
801 온천동,2014,1,2,16,1.2,0.024,59,,9.4,287.2,2.1,0
801 온천동,2014,1,2,17,1.2,0.022,56,,9.7,272.7,2.5,0
801 온천동,2014,1,2,18,1.3,0.021,46,,8.9,300.9,2.8,0
801 온천동,2014,1,2,19,점검,점검,45,,7.3,0,0.3,0
801 온천동,2014,1,2,20,1,0.023,46,,6.1,63.9,1.4,0
801 온천동,2014,1,2,21,1.3,0.028,48,,5.2,49.4,1.5,0
801 온천동,2014,1,2,22,1.2,0.027,70,,4.7,35.2,1.3,0
801 온천동,2014,1,2,23,1.1,0.026,63,,3.1,0,0.3,0
801 온천동,2014,1,2,24,1,0.025,62,,3.2,341.3,1.2,0
801 온천동,2014,1,3,1,1.1,0.022,58,,2.5,37.9,0.6,0
801 온천동,2014,1,3,2,1,0.02,59,,1.3,94,1.4,0
