측정소,year,월,일,시,CO,NO₂,PM10,PM2.5,Temp,direction(wind),speed(wind),Precipitation
708 전포동,2014,1,1,1,0.4,0.016,94,,6.4,289,3.2,0
708 전포동,2014,1,1,2,0.4,0.015,103,,6,286.7,2.8,0
708 전포동,2014,1,1,3,0.4,0.016,109,,5.8,281.7,2.9,0
708 전포동,2014,1,1,4,0.4,0.016,113,,5.7,279.5,3.5,0
708 전포동,2014,1,1,5,0.4,0.017,131,,5.5,269.3,2.7,0
708 전포동,2014,1,1,6,0.4,0.021,122,,4.9,265.7,2.4,0
708 전포동,2014,1,1,7,0.4,0.023,113,,4.6,274.2,2.6,0
708 전포동,2014,1,1,8,0.4,0.024,123,,3,287.9,1.3,0
708 전포동,2014,1,1,9,0.4,0.029,125,,2.6,312.4,0.8,0
708 전포동,2014,1,1,10,0.4,0.024,120,,5.4,277.4,1.6,0
708 전포동,2014,1,1,11,0.4,0.016,123,,6.6,262.9,3.1,0
708 전포동,2014,1,1,12,0.4,0.015,108,,7.9,260.1,2.7,0
708 전포동,2014,1,1,13,0.3,0.012,99,,8.3,277.3,3.5,0
708 전포동,2014,1,1,14,0.4,0.013,99,,8.3,275.4,4,0
708 전포동,2014,1,1,15,0.5,0.015,110,,9.1,272.8,3.8,0
708 전포동,2014,1,1,16,0.3,0.013,114,,9.3,271.2,3.9,0
708 전포동,2014,1,1,17,0.3,0.013,95,,9.7,282.6,3.6,0
708 전포동,2014,1,1,18,0.3,0.017,81,,8.6,282.3,3,0
708 전포동,2014,1,1,19,0.3,0.02,74,,7.7,270.4,2.5,0
708 전포동,2014,1,1,20,0.3,0.027,69,,7,267.4,1.7,0
708 전포동,2014,1,1,21,0.3,0.031,78,,6.3,279.9,1.8,0
708 전포동,2014,1,1,22,0.4,0.039,76,,6.4,300.6,2.1,0
708 전포동,2014,1,1,23,0.4,0.038,70,,5.6,295.5,1.9,0
708 전포동,2014,1,1,24,0.4,0.039,83,,5.9,300.4,2.4,0
708 전포동,2014,1,2,1,0.4,0.031,101,,5.8,297.5,2.9,0
708 전포동,2014,1,2,2,0.5,0.028,113,,5.6,297.3,2.3,0
708 전포동,2014,1,2,3,0.5,0.028,117,,5.4,300.4,2.1,0
708 전포동,2014,1,2,4,0.5,0.024,112,,5,297.9,2.4,0
708 전포동,2014,1,2,5,0.4,0.024,114,,3.5,336.6,1.2,0
708 전포동,2014,1,2,6,0.5,0.033,108,,3.2,338.3,1.4,0
708 전포동,2014,1,2,7,0.5,0.036,106,,2.7,330.3,0.8,0
708 전포동,2014,1,2,8,0.5,0.037,108,,1.8,333.5,1.4,0
708 전포동,2014,1,2,9,0.6,0.037,119,,2.4,330.7,0.7,0
708 전포동,2014,1,2,10,0.4,0.027,122,,4.9,247.7,1.6,0
708 전포동,2014,1,2,11,0.3,0.025,105,,6.5,240.3,1.9,0
708 전포동,2014,1,2,12,0.3,0.021,75,,8.3,261,3.6,0
708 전포동,2014,1,2,13,0.3,0.016,59,,8.4,276.5,4,0
708 전포동,2014,1,2,14,0.3,0.015,57,,8.4,286.6,3.5,0
708 전포동,2014,1,2,15,0.3,0.017,55,,9.6,267.6,3.3,0
708 전포동,2014,1,2,16,0.2,0.017,49,,9.7,272.5,3.4,0
708 전포동,2014,1,2,17,0.2,0.018,45,,10.2,253,1.7,0
708 전포동,2014,1,2,18,0.3,0.033,37,,8.6,279.6,1.8,0
708 전포동,2014,1,2,19,0.5,0.042,49,,5.9,344.9,1,0
708 전포동,2014,1,2,20,0.6,0.042,58,,5.6,0,0.3,0
708 전포동,2014,1,2,21,0.6,0.042,53,,4.8,343.1,0.7,0
708 전포동,2014,1,2,22,0.7,0.043,59,,4.4,0,0.4,0
708 전포동,2014,1,2,23,0.8,0.043,58,,5.2,74.2,0.9,0
708 전포동,2014,1,2,24,0.6,0.042,56,,3.2,290.5,1.2,0
708 전포동,2014,1,3,1,0.6,0.04,60,,2.5,302,0.9,0
708 전포동,2014,1,3,2,0.5,0.039,47,,2.6,287.6,1.2,0
708 전포동,2014,1,3,3,0.4,0.038,49,,2.9,302,1.6,0
708 전포동,2014,1,3,4,0.6,0.037,41,,2.9,318.7,0.7,0
708 전포동,2014,1,3,5,0.5,0.035,43,,1.9,292.5,0.7,0
708 전포동,2014,1,3,6,0.4,0.035,42,,1.3,283.4,1.9,0
708 전포동,2014,1,3,7,0.4,0.034,39,,1.7,305.3,1.5,0
708 전포동,2014,1,3,8,0.5,0.035,44,,0.7,280.8,1.5,0
708 전포동,2014,1,3,9,0.6,0.037,66,,2.3,295.1,1.4,0
708 전포동,2014,1,3,10,0.6,0.038,82,,2.4,265.2,1.8,0
708 전포동,2014,1,3,11,점검,점검,점검,,3.1,259.3,2.4,0
708 전포동,2014,1,3,12,0.5,0.037,84,,6.5,274,2,0
708 전포동,2014,1,3,13,0.4,0.025,63,,8,261.7,2.7,0
708 전포동,2014,1,3,14,0.4,0.032,41,,9.8,260.8,3.1,0
708 전포동,2014,1,3,15,0.3,0.035,49,,10.7,253,2.6,0
708 전포동,2014,1,3,16,0.4,0.04,46,,11.3,265.4,1.9,0
708 전포동,2014,1,3,17,0.4,0.044,53,,10.5,274.2,1.6,0
708 전포동,2014,1,3,18,0.5,0.049,58,,8.5,317.1,1,0
708 전포동,2014,1,3,19,0.7,0.047,70,,7.3,337.6,1.3,0
708 전포동,2014,1,3,20,0.8,0.046,67,,7.2,318,0.9,0
708 전포동,2014,1,3,21,0.8,0.046,69,,6.6,0,0.3,0
708 전포동,2014,1,3,22,0.8,0.045,64,,6.2,0,0.1,0
708 전포동,2014,1,3,23,0.9,0.045,58,,5,305.3,0.9,0
708 전포동,2014,1,3,24,1,0.045,51,,4.2,282.4,1.5,0
708 전포동,2014,1,4,1,0.9,0.043,55,,4.4,297.5,1.9,0
708 전포동,2014,1,4,2,0.7,0.04,55,,4.3,267.5,1.8,0
708 전포동,2014,1,4,3,0.6,0.038,48,,2.8,270.1,0.6,0
708 전포동,2014,1,4,4,0.5,0.036,43,,3.7,271.9,2.5,0
708 전포동,2014,1,4,5,0.4,0.035,42,,3.5,295.5,1.6,0
708 전포동,2014,1,4,6,0.4,0.036,49,,3.2,287.4,1.5,0
708 전포동,2014,1,4,7,0.5,0.038,55,,3.3,0,0.2,0
708 전포동,2014,1,4,8,0.5,0.036,74,,2.2,305.1,1.6,0
708 전포동,2014,1,4,9,0.5,0.035,89,,2.6,0,0.2,0
708 전포동,2014,1,4,10,0.5,0.033,108,,4.5,266.1,0.7,0
708 전포동,2014,1,4,11,0.4,0.03,105,,5.1,249.8,1.7,0
708 전포동,2014,1,4,12,0.4,0.033,108,,7.6,243.7,2.7,0
708 전포동,2014,1,4,13,0.4,0.027,94,,8.9,254.1,2.1,0
708 전포동,2014,1,4,14,0.3,0.025,79,,9.9,225.8,1.6,0
708 전포동,2014,1,4,15,0.3,0.021,68,,10.7,239.9,1,0
708 전포동,2014,1,4,16,0.3,0.017,57,,9.4,138.2,2.1,0
708 전포동,2014,1,4,17,0.3,0.017,72,,8.9,129,2.1,0
708 전포동,2014,1,4,18,0.3,0.025,43,,7.9,127.5,2.5,0
708 전포동,2014,1,4,19,0.3,0.023,35,,7.3,124.4,1.1,0
708 전포동,2014,1,4,20,0.3,0.021,30,,6.2,122.6,1.6,0
708 전포동,2014,1,4,21,0.3,0.019,33,,5.5,134.9,2,0
708 전포동,2014,1,4,22,0.3,0.018,18,,5.3,136,2.2,0
708 전포동,2014,1,4,23,0.3,0.016,17,,5.1,137.9,2.1,0
708 전포동,2014,1,4,24,0.3,0.016,14,,4.8,136.8,1.1,0
708 전포동,2014,1,5,1,0.3,0.015,18,,5,135.4,1.9,0
708 전포동,2014,1,5,2,0.3,0.012,20,,4.6,0,0.1,0
708 전포동,2014,1,5,3,0.3,0.009,19,,4.7,126.7,0.5,0
708 전포동,2014,1,5,4,0.3,0.01,12,,3,312.5,0.6,0
708 전포동,2014,1,5,5,0.3,0.01,17,,3.4,333.4,0.9,0
708 전포동,2014,1,5,6,0.3,0.021,10,,3.3,296.3,1,0
708 전포동,2014,1,5,7,0.4,0.028,19,,1.8,311.9,1.2,0
708 전포동,2014,1,5,8,0.4,0.029,34,,1.2,315.5,1.3,0
708 전포동,2014,1,5,9,0.4,0.028,31,,0.9,304.1,1.7,0
708 전포동,2014,1,5,10,0.4,0.025,33,,2.7,274.9,1.6,0
