측정소,year,월,일,시,CO,NO₂,PM10,PM2.5,Temp,direction(wind),speed(wind),Precipitation
703 학장동,2014,1,1,1,0.4,0.015,94,,동,4.1,,
703 학장동,2014,1,1,2,0.4,0.015,103,,동,3.7,,
703 학장동,2014,1,1,3,0.4,0.008,102,,동,4.7,,
703 학장동,2014,1,1,4,0.4,0.008,110,,동,4.5,,
703 학장동,2014,1,1,5,0.4,0.013,117,,동,3.2,,
703 학장동,2014,1,1,6,0.4,0.011,114,,동,2.9,,
703 학장동,2014,1,1,7,0.4,0.017,98,,동남동,2,,
703 학장동,2014,1,1,8,0.4,0.014,111,,남동,1.8,,
703 학장동,2014,1,1,9,0.5,0.015,108,,동남동,1.3,,
703 학장동,2014,1,1,10,0.5,0.009,105,,동,2.3,,
703 학장동,2014,1,1,11,0.5,0.01,103,,동북동,2.9,,
703 학장동,2014,1,1,12,0.5,0.008,105,,동북동,5.1,,
703 학장동,2014,1,1,13,0.5,0.008,115,,동북동,5.6,,
703 학장동,2014,1,1,14,0.6,0.008,113,,동북동,5.8,,
703 학장동,2014,1,1,15,0.6,0.008,109,,동북동,5.8,,
703 학장동,2014,1,1,16,0.3,0.006,105,,동남동,4.7,,
703 학장동,2014,1,1,17,0.3,0.007,80,,동남동,3.8,,
703 학장동,2014,1,1,18,0.3,0.009,74,,동남동,3.3,,
703 학장동,2014,1,1,19,0.2,0.009,61,,동,3.4,,
703 학장동,2014,1,1,20,0.3,0.012,60,,동남동,2.5,,
703 학장동,2014,1,1,21,0.3,0.012,68,,동,2.9,,
703 학장동,2014,1,1,22,0.3,0.016,70,,동남동,2.3,,
703 학장동,2014,1,1,23,0.3,0.015,62,,동,3.2,,
703 학장동,2014,1,1,24,0.4,0.013,83,,동북동,4.5,,
703 학장동,2014,1,2,1,0.5,0.012,96,,동북동,4.7,,
703 학장동,2014,1,2,2,0.5,0.01,106,,동북동,4.4,,
703 학장동,2014,1,2,3,0.5,0.012,112,,동남동,2.6,,
703 학장동,2014,1,2,4,0.5,0.017,104,,남동,1.8,,
703 학장동,2014,1,2,5,0.6,0.021,105,,남남동,0.8,,
703 학장동,2014,1,2,6,0.6,0.022,96,,남동,1,,
703 학장동,2014,1,2,7,0.7,0.025,91,,남동,1.1,,
703 학장동,2014,1,2,8,0.7,0.026,103,,서북서,1.7,,
703 학장동,2014,1,2,9,1,0.034,106,,남남동,0.9,,
703 학장동,2014,1,2,10,0.9,0.039,159,,남동,0.8,,
703 학장동,2014,1,2,11,0.6,0.022,197,,남남동,1.6,,
703 학장동,2014,1,2,12,0.4,0.017,114,,남남동,2.5,,
703 학장동,2014,1,2,13,0.4,0.01,86,,남남동,3.1,,
703 학장동,2014,1,2,14,0.3,0.011,76,,동남동,3.1,,
703 학장동,2014,1,2,15,0.3,0.013,70,,동남동,3.3,,
703 학장동,2014,1,2,16,0.3,0.014,65,,남동,2.9,,
703 학장동,2014,1,2,17,0.3,0.017,74,,동남동,2.6,,
703 학장동,2014,1,2,18,0.5,0.024,75,,남,2,,
703 학장동,2014,1,2,19,0.5,0.024,68,,서북서,2.6,,
703 학장동,2014,1,2,20,0.4,0.023,58,,서,1.9,,
703 학장동,2014,1,2,21,0.5,0.024,55,,동남동,1.4,,
703 학장동,2014,1,2,22,0.6,0.026,48,,남남서,1.5,,
703 학장동,2014,1,2,23,0.5,0.026,57,,동남동,1.4,,
703 학장동,2014,1,2,24,0.6,0.025,68,,남동,0.8,,
703 학장동,2014,1,3,1,0.5,0.024,64,,남,0.9,,
703 학장동,2014,1,3,2,0.5,0.02,50,,남동,0.8,,
703 학장동,2014,1,3,3,0.8,0.025,52,,남남동,0.6,,
703 학장동,2014,1,3,4,0.6,0.021,108,,남동,0.8,,
703 학장동,2014,1,3,5,0.4,0.019,72,,남동,0.8,,
703 학장동,2014,1,3,6,0.6,0.023,52,,남동,0.9,,
703 학장동,2014,1,3,7,0.5,0.021,70,,남동,1,,
703 학장동,2014,1,3,8,0.7,0.028,72,,남남동,0.8,,
703 학장동,2014,1,3,9,0.8,0.031,99,,남동,1.2,,
703 학장동,2014,1,3,10,0.6,0.027,87,,남동,1.3,,
703 학장동,2014,1,3,11,0.6,0.027,109,,남남동,1.1,,
703 학장동,2014,1,3,12,0.5,0.028,99,,남남동,1.1,,
703 학장동,2014,1,3,13,0.5,0.024,95,,남동,1.4,,
703 학장동,2014,1,3,14,0.4,0.023,83,,남동,1.4,,
703 학장동,2014,1,3,15,0.4,0.024,75,,남남동,1.7,,
703 학장동,2014,1,3,16,0.4,0.025,68,,남남동,1.3,,
703 학장동,2014,1,3,17,0.6,0.029,74,,남동,1.2,,
703 학장동,2014,1,3,18,0.7,0.032,104,,남서,2.2,,
703 학장동,2014,1,3,19,0.7,0.032,91,,서남서,2,,
703 학장동,2014,1,3,20,0.6,0.03,78,,서,1.7,,
703 학장동,2014,1,3,21,0.6,0.028,63,,남동,1.1,,
703 학장동,2014,1,3,22,0.8,0.031,52,,남동,1,,
703 학장동,2014,1,3,23,0.8,0.032,86,,남동,0.8,,
703 학장동,2014,1,3,24,0.7,0.028,78,,남동,1.1,,
703 학장동,2014,1,4,1,0.7,0.028,106,,남동,0.8,,
703 학장동,2014,1,4,2,0.7,0.028,74,,남동,1.1,,
703 학장동,2014,1,4,3,0.5,0.022,71,,동남동,1.4,,
703 학장동,2014,1,4,4,0.6,0.021,64,,남동,1,,
703 학장동,2014,1,4,5,0.6,0.022,54,,남남동,0.6,,
703 학장동,2014,1,4,6,0.5,0.041,57,,남남동,1.1,,
703 학장동,2014,1,4,7,0.6,0.024,49,,남동,1.1,,
703 학장동,2014,1,4,8,0.7,0.027,97,,남동,1,,
703 학장동,2014,1,4,9,0.9,0.031,164,,남동,1,,
703 학장동,2014,1,4,10,0.7,0.028,123,,동남동,1.4,,
703 학장동,2014,1,4,11,0.5,0.02,135,,남동,1.7,,
703 학장동,2014,1,4,12,0.5,0.016,107,,남남동,1.5,,
703 학장동,2014,1,4,13,0.4,0.014,91,,남남동,1.8,,
703 학장동,2014,1,4,14,0.4,0.014,82,,남남동,1.6,,
703 학장동,2014,1,4,15,0.4,0.016,81,,남동,1.8,,
703 학장동,2014,1,4,16,0.4,0.014,81,,남남동,2.4,,
703 학장동,2014,1,4,17,0.4,0.014,57,,서,3.3,,
703 학장동,2014,1,4,18,0.4,0.019,54,,서북서,3.7,,
703 학장동,2014,1,4,19,0.4,0.018,48,,서남서,2.4,,
703 학장동,2014,1,4,20,0.4,0.019,36,,서남서,2.6,,
703 학장동,2014,1,4,21,0.3,0.016,29,,서,3.2,,
703 학장동,2014,1,4,22,0.3,0.011,24,,서,3.5,,
703 학장동,2014,1,4,23,0.3,0.011,17,,서,2.8,,
703 학장동,2014,1,4,24,0.4,0.012,19,,남남서,2.3,,
703 학장동,2014,1,5,1,0.4,0.01,25,,남남서,2.8,,
703 학장동,2014,1,5,2,0.4,0.008,23,,남,2.9,,
703 학장동,2014,1,5,3,0.4,0.009,22,,남,2,,
703 학장동,2014,1,5,4,0.4,0.01,23,,남남동,1.6,,
703 학장동,2014,1,5,5,0.4,0.01,29,,동남동,1.6,,
703 학장동,2014,1,5,6,0.4,0.01,32,,동남동,1.2,,
703 학장동,2014,1,5,7,0.4,0.014,34,,남동,0.8,,
703 학장동,2014,1,5,8,0.4,0.017,38,,동남동,1.5,,
703 학장동,2014,1,5,9,0.4,0.015,35,,동,1.7,,
703 학장동,2014,1,5,10,0.4,0.011,39,,남동,1.7,,
703 학장동,2014,1,5,11,0.4,0.009,41,,남동,1.5,,
703 학장동,2014,1,5,12,0.3,0.009,31,,남동,1.7,,
703 학장동,2014,1,5,13,0.3,0.007,33,,남남동,1.6,,
703 학장동,2014,1,5,14,0.3,0.008,29,,남동,2.3,,
703 학장동,2014,1,5,15,0.3,0.008,48,,남동,3,,
703 학장동,2014,1,5,16,0.3,0.009,46,,남동,3.4,,
703 학장동,2014,1,5,17,0.3,0.01,44,,남동,2.7,,
703 학장동,2014,1,5,18,0.2,0.012,31,,남남동,1.8,,
703 학장동,2014,1,5,19,0.3,0.014,29,,남동,2,,
703 학장동,2014,1,5,20,0.3,0.015,42,,남동,1.7,,
703 학장동,2014,1,5,21,0.3,0.019,51,,동남동,1.6,,
703 학장동,2014,1,5,22,0.4,0.015,54,,남동,1.1,,
703 학장동,2014,1,5,23,0.4,0.013,54,,남동,1.2,,
703 학장동,2014,1,5,24,0.4,0.008,51,,남남동,2.5,,
703 학장동,2014,1,6,1,0.4,0.008,51,,남남동,2.7,,
703 학장동,2014,1,6,2,0.4,0.008,48,,남동,2.4,,
703 학장동,2014,1,6,3,0.4,0.009,47,,동남동,2.1,,
703 학장동,2014,1,6,4,0.4,0.01,53,,동,2,,
703 학장동,2014,1,6,5,0.5,0.013,52,,남동,1.5,,
703 학장동,2014,1,6,6,0.5,0.016,55,,동남동,1.3,,
703 학장동,2014,1,6,7,0.6,0.023,60,,동남동,1.2,,
703 학장동,2014,1,6,8,0.7,0.027,79,,동,1.6,,
703 학장동,2014,1,6,9,0.7,0.026,120,,동남동,1.1,,
703 학장동,2014,1,6,10,0.7,0.026,100,,남동,1.1,,
703 학장동,2014,1,6,11,0.6,0.024,101,,남동,1.6,,
703 학장동,2014,1,6,12,0.5,0.02,94,,남남동,1.6,,
703 학장동,2014,1,6,13,0.5,0.017,86,,남남동,1.9,,
703 학장동,2014,1,6,14,0.5,0.014,75,,남동,1.7,,
703 학장동,2014,1,6,15,0.5,0.016,80,,동남동,1.9,,
703 학장동,2014,1,6,16,0.5,0.019,88,,남동,1.9,,
703 학장동,2014,1,6,17,0.5,0.024,90,,동북동,2.6,,
703 학장동,2014,1,6,18,0.6,0.03,102,,동남동,1.8,,
703 학장동,2014,1,6,19,0.7,0.031,89,,남서,1.8,,
703 학장동,2014,1,6,20,0.6,0.029,83,,남남서,2,,
703 학장동,2014,1,6,21,0.7,0.028,74,,남동,1.5,,
703 학장동,2014,1,6,22,0.6,0.028,83,,남남서,1.5,,
703 학장동,2014,1,6,23,0.7,0.027,81,,남동,0.8,,
703 학장동,2014,1,6,24,0.7,0.027,81,,동남동,1.2,,
703 학장동,2014,1,7,1,0.7,0.026,88,,동남동,1.2,,
703 학장동,2014,1,7,2,0.7,0.024,96,,남동,1,,
703 학장동,2014,1,7,3,0.6,0.022,87,,남동,1,,
703 학장동,2014,1,7,4,0.7,0.022,74,,남동,1.1,,
703 학장동,2014,1,7,5,0.7,0.022,73,,남동,1,,
703 학장동,2014,1,7,6,0.6,0.022,82,,남동,1,,
703 학장동,2014,1,7,7,0.7,0.023,80,,남동,0.8,,
703 학장동,2014,1,7,8,0.8,0.026,100,,남동,1.2,,
703 학장동,2014,1,7,9,0.9,0.029,127,,남남동,1,,
703 학장동,2014,1,7,10,0.7,0.025,121,,남남동,1.4,,
703 학장동,2014,1,7,11,0.6,0.024,105,,남남동,1.2,,
703 학장동,2014,1,7,12,0.6,0.026,99,,남동,1.5,,
703 학장동,2014,1,7,13,0.6,0.019,110,,남동,2.9,,
703 학장동,2014,1,7,14,0.5,0.018,90,,남남동,3.4,,
703 학장동,2014,1,7,15,0.5,0.019,89,,남남동,3.1,,
