datetime-year,month,day,hour,CO,CO2,NO2,PM2.5,PM10,HCHO
2019,1,1,24,0.5,445,0.03,19,34,4.3
2019,1,1,1,0.4,420,0.024,20,31,2.7
2019,1,1,2,0.5,418,0.023,20,23,2.3
2019,1,1,3,0.4,419,0.021,21,22,2
2019,1,1,4,0.4,416,0.018,19,26,3.2
2019,1,1,5,0.4,416,0.02,23,28,2.7
2019,1,1,6,0.5,420,0.025,23,28,3.5
2019,1,1,7,0.4,414,0.025,19,25,2.7
2019,1,1,8,0.4,422,0.028,15,25,2.5
2019,1,1,9,0.4,427,0.027,14,26,2.4
2019,1,1,10,0.4,447,0.023,18,24,2.4
2019,1,1,11,0.4,477,0.028,20,28,3.1
2019,1,1,12,0.4,500,0.024,18,25,4.8
2019,1,1,13,0.5,488,0.029,16,27,4
2019,1,1,14,0.4,558,0.027,14,28,3.3
2019,1,1,15,0.4,558,0.028,18,26,4.8
2019,1,1,16,0.5,547,0.038,16,27,4.2
2019,1,1,17,0.5,532,0.029,21,23,4.4
2019,1,1,18,0.5,490,0.03,18,24,4.1
2019,1,1,19,0.5,476,0.03,20,32,2.9
2019,1,1,20,0.6,466,0.032,24,30,2.8
2019,1,1,21,0.5,452,0.032,23,33,2.6
2019,1,1,22,0.5,431,0.031,22,28,3.8
2019,1,1,23,0.5,422,0.027,22,27,3.3
2019,1,2,24,0.5,415,0.021,22,27,2
2019,1,2,1,0.4,405,0.012,16,24,2
2019,1,2,2,0.4,398,0.007,18,28,2.6
2019,1,2,3,0.4,397,0.007,13,18,2
2019,1,2,4,0.3,395,0.007,13,18,2.5
2019,1,2,5,0.3,401,0.014,13,18,1.8
2019,1,2,6,0.4,417,0.032,10,17,1.7
2019,1,2,7,0.4,437,0.04,14,25,3.1
2019,1,2,8,0.5,452,0.04,11,20,2.3
2019,1,2,9,0.5,455,0.043,10,24,3.1
2019,1,2,10,0.5,454,0.044,19,36,2.5
2019,1,2,11,0.4,473,0.034,13,23,2.3
2019,1,2,12,0.4,484,0.034,14,23,3
2019,1,2,13,?Î®?,?Î®?,?Î®?,?Î®?,?Î®?,4.1
2019,1,2,14,0.5,513,0.043,14,22,2.9
2019,1,2,15,0.5,524,0.044,14,23,4
2019,1,2,16,0.5,508,0.046,11,20,3.6
2019,1,2,17,0.6,525,0.047,13,20,4.4
2019,1,2,18,0.6,563,0.046,19,28,5
2019,1,2,19,0.6,490,0.05,23,42,4
2019,1,2,20,0.6,470,0.048,20,30,4.5
2019,1,2,21,0.5,463,0.043,16,24,4.7
2019,1,2,22,0.5,438,0.034,16,21,3.5
2019,1,2,23,0.4,420,0.03,15,??áÌÖã,4
2019,1,3,24,0.4,412,0.025,16,19,3.1
2019,1,3,1,0.4,405,0.019,16,19,2.2
2019,1,3,2,0.4,401,0.016,14,21,1.8
2019,1,3,3,0.4,401,0.013,16,19,3.2
2019,1,3,4,0.4,399,0.013,13,15,2.2
2019,1,3,5,0.4,403,0.015,12,17,2.1
2019,1,3,6,0.4,409,0.023,13,12,2.5
2019,1,3,7,0.4,433,0.033,11,13,2.6
2019,1,3,8,0.5,451,0.037,13,15,3.5
2019,1,3,9,0.5,460,0.04,12,16,2.3
2019,1,3,10,0.5,464,0.042,14,22,3.7
2019,1,3,11,0.5,482,0.039,18,27,4.3
2019,1,3,12,0.5,490,0.039,16,29,4.6
2019,1,3,13,0.5,518,0.038,20,27,3.8
2019,1,3,14,0.5,514,0.039,15,22,5
2019,1,3,15,0.5,523,0.044,15,24,4
2019,1,3,16,0.5,531,0.042,14,19,4.6
2019,1,3,17,0.5,545,0.044,12,20,3.7
2019,1,3,18,0.6,552,0.048,15,25,5
2019,1,3,19,0.6,500,0.047,16,23,5.1
2019,1,3,20,0.5,486,0.043,21,22,4.7
2019,1,3,21,0.6,477,0.044,9,21,4.7
2019,1,3,22,0.5,452,0.04,9,18,3.4
2019,1,3,23,0.5,423,0.038,11,23,4.5
2019,1,4,24,0.5,423,0.038,9,22,4.2
2019,1,4,1,0.4,411,0.027,16,23,2.1
2019,1,4,2,0.4,407,0.025,14,11,0
2019,1,4,3,0.4,397,0.016,9,20,3.7
2019,1,4,4,0.4,409,0.032,12,15,2.3
2019,1,4,5,0.4,416,0.041,9,9,1.4
2019,1,4,6,0.5,425,0.044,11,16,2.1
2019,1,4,7,0.5,450,0.046,13,20,4.7
2019,1,4,8,0.7,484,0.052,18,29,3.3
2019,1,4,9,0.6,464,0.05,22,44,4.1
2019,1,4,10,0.5,467,0.048,17,28,3.5
2019,1,4,11,0.6,499,0.047,12,26,3.8
2019,1,4,12,0.6,513,0.046,14,24,4.2
2019,1,4,13,0.7,507,0.045,21,39,5
2019,1,4,14,0.7,514,0.047,19,32,4.3
2019,1,4,15,0.7,503,0.047,18,36,4.8
2019,1,4,16,0.7,505,0.05,21,34,5.2
2019,1,4,17,0.8,519,0.052,25,40,5.2
2019,1,4,18,0.9,601,0.049,26,44,5.2
2019,1,4,19,0.9,531,0.048,34,66,5.3
2019,1,4,20,0.8,506,0.048,23,44,5.1
2019,1,4,21,0.7,490,0.042,25,??áÌÖã,4.9
2019,1,4,22,0.5,455,0.038,18,32,4.4
2019,1,4,23,0.5,425,0.034,17,32,3.6
2019,1,5,24,0.5,410,0.025,20,29,3.7
2019,1,5,1,0.5,403,0.022,21,27,2.5
2019,1,5,2,0.5,401,0.018,23,30,2.4
2019,1,5,3,0.5,397,0.013,27,30,3.1
2019,1,5,4,0.5,397,0.012,25,29,3.8
2019,1,5,5,0.5,407,0.022,30,39,3.6
2019,1,5,6,0.7,425,0.041,44,50,2.9
2019,1,5,7,0.7,436,0.044,71,82,3.7
2019,1,5,8,0.7,444,0.046,80,93,4.8
2019,1,5,9,0.7,459,0.046,86,92,3.6
2019,1,5,10,0.7,475,0.042,87,104,5.5
2019,1,5,11,0.7,496,0.045,85,95,5.2
2019,1,5,12,0.7,487,0.046,64,72,4.4
2019,1,5,13,0.7,514,0.051,59,72,5
2019,1,5,14,0.7,532,0.052,62,76,4.5
2019,1,5,15,0.5,515,0.047,53,73,5.3
2019,1,5,16,0.6,554,0.049,27,45,4.3
2019,1,5,17,0.6,569,0.049,30,40,4.2
2019,1,5,18,0.6,523,0.052,29,44,4.1
2019,1,5,19,0.6,503,0.044,31,41,4.6
2019,1,5,20,0.6,505,0.043,32,46,4.4
2019,1,5,21,0.6,484,0.044,22,38,3.3
2019,1,5,22,0.7,482,0.044,28,36,4.2
2019,1,5,23,0.6,437,0.041,36,50,3.4
2019,1,6,24,0.6,423,0.038,28,39,3
2019,1,6,1,0.6,415,0.037,35,47,2.9
2019,1,6,2,0.6,421,?Íæ®Îñí,37,43,3.5
2019,1,6,3,0.6,412,?Íæ®Îñí,36,45,4.3
2019,1,6,4,0.5,405,0.026,33,43,3.5
2019,1,6,5,0.5,414,0.032,31,35,2.4
2019,1,6,6,0.5,420,0.038,29,40,3.4
2019,1,6,7,0.5,418,0.037,31,41,3
2019,1,6,8,0.5,426,0.036,26,39,2.7
2019,1,6,9,0.6,450,0.039,25,31,4.5
