,datetime-year,month,day,hour,CO,CO2,NO2,PM2.5,PM10,HCHO
0,2019,1,1,24,0.4,413,0.025,21,28,6.2
1,2019,1,1,1,0.3,407,0.025,20,30,6
2,2019,1,1,2,0.3,394,0.013,20,26,3
3,2019,1,1,3,0.3,396,0.013,27,28,5.6
4,2019,1,1,4,0.3,393,0.01,18,34,5.6
5,2019,1,1,5,0.3,407,0.017,12,30,5.4
6,2019,1,1,6,0.3,426,0.023,14,25,5.3
7,2019,1,1,7,0.3,415,0.023,22,23,5.4
8,2019,1,1,8,0.3,431,0.024,25,43,4.1
9,2019,1,1,9,0.3,447,0.027,24,38,5.5
10,2019,1,1,10,0.3,428,0.026,22,25,4.3
11,2019,1,1,11,0.3,438,0.025,12,19,5.6
12,2019,1,1,12,0.3,469,0.023,17,22,5.4
13,2019,1,1,13,0.2,457,0.019,18,16,5.8
14,2019,1,1,14,0.3,467,0.023,22,23,5.6
15,2019,1,1,15,0.3,470,0.026,19,25,5.5
16,2019,1,1,16,0.3,461,0.026,16,21,5.6
17,2019,1,1,17,0.3,474,0.028,19,18,5.8
18,2019,1,1,18,0.3,467,0.031,20,26,4.3
19,2019,1,1,19,0.4,453,0.03,24,21,5.6
20,2019,1,1,20,0.4,460,0.03,18,22,5.7
21,2019,1,1,21,0.4,449,0.028,26,23,5.7
22,2019,1,1,22,0.4,425,0.029,24,23,5.7
23,2019,1,1,23,0.4,418,0.024,21,26,5.7
24,2019,1,2,24,0.3,400,0.015,23,25,5.7
25,2019,1,2,1,0.3,389,0.01,37,29,2.4
26,2019,1,2,2,0.3,390,0.012,18,27,6
27,2019,1,2,3,0.3,385,0,24,26,5.2
28,2019,1,2,4,0.2,380,0,17,20,5.2
29,2019,1,2,5,0.2,390,0.011,22,15,6.1
30,2019,1,2,6,0.2,419,0.03,12,18,5.6
31,2019,1,2,7,0.3,451,0.035,18,22,5.8
32,2019,1,2,8,0.3,501,0.035,15,22,5.2
33,2019,1,2,9,0.3,471,0.035,16,28,5.4
34,2019,1,2,10,0.3,452,0.034,21,21,4.2
35,2019,1,2,11,0.3,453,0.031,17,21,5.8
36,2019,1,2,12,0.3,465,0.03,16,20,5.5
37,2019,1,2,13,0.3,476,0.031,16,18,5.5
38,2019,1,2,14,0.2,471,0.03,17,24,5.3
39,2019,1,2,15,0,0,0,0,0,2.7
40,2019,1,2,16,0,0,0,0,0,6
41,2019,1,2,17,0,0,0,0,0,5.5
42,2019,1,2,18,0.5,576,0.041,12,26,6
43,2019,1,2,19,0.5,494,0.043,17,26,5.9
44,2019,1,2,20,0.6,475,0.042,27,27,6.2
45,2019,1,2,21,0.5,461,0.039,23,0,3.3
46,2019,1,2,22,0.4,447,0.035,22,23,6.1
47,2019,1,2,23,0.4,430,0.029,21,23,6.1
48,2019,1,3,24,0.4,428,0.025,21,19,5.9
49,2019,1,3,1,0.4,406,0.02,24,40,5.8
50,2019,1,3,2,0.3,399,0.018,22,38,5.5
51,2019,1,3,3,0.3,393,0.021,18,30,5.6
52,2019,1,3,4,0.3,390,0.01,19,21,5.2
53,2019,1,3,5,0.3,407,0.015,23,20,2.3
54,2019,1,3,6,0.3,428,0.027,12,21,5.1
55,2019,1,3,7,0.4,456,0.033,18,23,5.4
56,2019,1,3,8,0.5,494,0.035,20,30,5.3
