,datetime-year,month,day,hour,CO,CO2,NO2,PM2.5,PM10
0,2019,1,1,0,0.5,493,0.034,14,29
1,2019,1,1,1,0.5,479,0.03,13,31
2,2019,1,1,2,0.5,458,0.029,13,29
3,2019,1,1,3,0.5,457,0.028,18,25
4,2019,1,1,4,0.4,453,0.032,18,27
5,2019,1,1,5,0.4,462,0.026,18,28
6,2019,1,1,6,0.4,470,0.027,15,31
7,2019,1,1,7,0.4,463,0.031,16,34
8,2019,1,1,8,0.4,468,0.035,13,26
9,2019,1,1,9,0.4,480,0.036,13,29
10,2019,1,1,10,0.4,481,0.033,15,41
11,2019,1,1,11,0.4,481,0.03,23,35
12,2019,1,1,12,0.3,478,0.024,13,36
13,2019,1,1,13,0.3,487,0.023,13,35
14,2019,1,1,14,0.3,486,0.024,12,41
15,2019,1,1,15,0.3,497,0.024,10,31
16,2019,1,1,16,0.4,506,0.027,11,35
17,2019,1,1,17,0.4,513,0.033,10,33
18,2019,1,1,18,0.4,517,0.033,12,33
19,2019,1,1,19,0.5,503,0.035,14,44
20,2019,1,1,20,0.5,496,0.034,16,37
21,2019,1,1,21,0.4,485,0.028,20,41
22,2019,1,1,22,0.4,470,0.028,15,37
23,2019,1,1,23,0.4,464,0.024,20,28
24,2019,1,2,0,0.4,454,0.019,15,36
25,2019,1,2,1,0.4,442,0.017,17,44
26,2019,1,2,2,0.4,440,0.026,16,30
27,2019,1,2,3,0.3,436,0.019,13,33
28,2019,1,2,4,0.3,432,0.016,8,29
29,2019,1,2,5,0.3,439,0.019,6,21
30,2019,1,2,6,0.3,452,0.035,5,20
31,2019,1,2,7,0.4,467,0.038,10,16
32,2019,1,2,8,0.4,528,0.044,7,16
33,2019,1,2,9,0.4,515,0.043,6,26
34,2019,1,2,10,0.4,507,0.041,12,26
35,2019,1,2,11,0.5,526,0.041,9,35
36,2019,1,2,12,0.4,537,0.039,12,41
37,2019,1,2,13,0.4,549,0.036,9,35
38,2019,1,2,14,0,0,0,0,0
39,2019,1,2,15,0.5,564,0.042,14,33
40,2019,1,2,16,0.5,599,0.042,9,16
41,2019,1,2,17,0.5,582,0.043,12,58
42,2019,1,2,18,0.5,634,0.043,9,44
43,2019,1,2,19,0.6,627,0.047,8,42
44,2019,1,2,20,0.7,564,0.051,15,50
45,2019,1,2,21,0.5,528,0.047,15,40
46,2019,1,2,22,0.5,513,0.042,9,34
