,datetime-year,month,day,hour,CO,CO2,NO2,PM2.5,PM10
0,2019,1,1,0,0.5,501,0.033,22,30
1,2019,1,1,1,0.5,494,0.028,18,31
2,2019,1,1,2,0.5,429,0.027,24,23
3,2019,1,1,3,0.5,428,0.027,18,19
4,2019,1,1,4,0.5,431,0.031,15,25
5,2019,1,1,5,0.4,472,0.025,19,29
6,2019,1,1,6,0.4,480,0.026,14,25
7,2019,1,1,7,0.4,465,0.03,20,37
8,2019,1,1,8,0.4,474,0.032,14,33
9,2019,1,1,9,0.4,492,0.035,17,24
10,2019,1,1,10,0.4,512,0.033,19,26
11,2019,1,1,11,0.4,512,0.03,29,43
12,2019,1,1,12,0.4,537,0.023,32,37
13,2019,1,1,13,0.4,570,0.022,27,68
14,2019,1,1,14,0.4,586,0.021,16,32
15,2019,1,1,15,0.4,588,0.022,18,24
16,2019,1,1,16,0.4,621,0.025,22,31
17,2019,1,1,17,0.5,624,0.03,23,40
18,2019,1,1,18,0.5,594,0.031,24,32
19,2019,1,1,19,0.5,558,0.032,25,43
20,2019,1,1,20,0.5,543,0.033,24,39
21,2019,1,1,21,0.5,513,0.029,18,26
22,2019,1,1,22,0.5,496,0.027,19,29
23,2019,1,1,23,0.5,479,0.023,20,27
24,2019,1,2,0,0.5,439,0.018,21,25
25,2019,1,2,1,0.4,418,0.019,22,27
26,2019,1,2,2,0.4,414,0.029,17,21
27,2019,1,2,3,0.4,413,0.02,16,22
28,2019,1,2,4,0.4,414,0.015,9,14
29,2019,1,2,5,0.4,429,0.018,12,17
30,2019,1,2,6,0.4,453,0.035,9,16
31,2019,1,2,7,0.4,473,0.041,11,27
32,2019,1,2,8,0.5,569,0.042,14,26
33,2019,1,2,9,0.5,565,0.042,16,28
34,2019,1,2,10,0.5,572,0.039,23,39
35,2019,1,2,11,0.5,579,0.038,19,36
36,2019,1,2,12,0.5,626,0.035,22,26
37,2019,1,2,13,0.5,668,0.032,12,25
38,2019,1,2,14,0,0,0,0,0
39,2019,1,2,15,0.6,699,0.039,13,23
40,2019,1,2,16,0.5,741,0.036,11,19
41,2019,1,2,17,0.5,723,0.039,18,31
42,2019,1,2,18,0.5,755,0.039,18,33
43,2019,1,2,19,0.6,703,0.042,17,31
44,2019,1,2,20,0.7,620,0.049,17,29
45,2019,1,2,21,0.6,561,0.045,20,27
46,2019,1,2,22,0.5,531,0.04,15,27
47,2019,1,2,23,0.5,509,0.035,16,18
48,2019,1,3,0,0.5,447,0.027,13,18
49,2019,1,3,1,0.4,421,0.026,15,24
50,2019,1,3,2,0.5,421,0.027,15,19
51,2019,1,3,3,0.4,417,0.027,18,20
52,2019,1,3,4,0.4,418,0.025,15,17
53,2019,1,3,5,0.4,435,0.03,12,12
54,2019,1,3,6,0.5,455,0.04,13,16
55,2019,1,3,7,0.5,478,0.043,11,19
56,2019,1,3,8,0.6,576,0.043,13,32
57,2019,1,3,9,0.6,586,0.043,17,37
58,2019,1,3,10,0.6,589,0.042,26,42
59,2019,1,3,11,0.6,618,0.043,26,53
60,2019,1,3,12,0.6,674,0.042,27,39
61,2019,1,3,13,0.6,728,0.04,20,35
62,2019,1,3,14,0.5,818,0.039,23,37
63,2019,1,3,15,0.6,836,0.038,11,23
64,2019,1,3,16,0.6,712,0.043,22,30
65,2019,1,3,17,0.6,750,0.045,18,33
66,2019,1,3,18,0.8,826,0.046,19,31
67,2019,1,3,19,0.8,714,0.051,28,50
68,2019,1,3,20,1,679,0.054,33,48
69,2019,1,3,21,0.9,637,0.052,19,27
70,2019,1,3,22,0.8,619,0.052,19,32
71,2019,1,3,23,0.8,568,0.05,15,23
72,2019,1,4,0,0.7,497,0.045,12,22
73,2019,1,4,1,0.6,449,0.045,16,23
74,2019,1,4,2,0.6,437,0.041,15,25
75,2019,1,4,3,0.5,425,0.035,14,17
76,2019,1,4,4,0.5,428,0.036,11,15
77,2019,1,4,5,0.5,451,0.038,16,17
78,2019,1,4,6,0.6,477,0.045,16,16
79,2019,1,4,7,0.7,510,0.049,18,24
80,2019,1,4,8,0.8,613,0.049,19,33
81,2019,1,4,9,0.8,616,0.047,22,42
82,2019,1,4,10,0.7,607,0.046,27,44
83,2019,1,4,11,0.6,634,0.047,37,52
84,2019,1,4,12,0.6,711,0.045,30,46
85,2019,1,4,13,0.7,782,0.047,26,37
86,2019,1,4,14,0.7,852,0.045,25,37
87,2019,1,4,15,0.7,879,0.047,23,38
88,2019,1,4,16,0.7,855,0.046,20,36
89,2019,1,4,17,0.7,813,0.047,30,51
90,2019,1,4,18,0.9,846,0.048,26,48
91,2019,1,4,19,0.9,765,0.048,37,61
92,2019,1,4,20,0.8,674,0.046,39,61
93,2019,1,4,21,0.7,602,0.043,25,39
94,2019,1,4,22,0.6,578,0.042,16,33
95,2019,1,4,23,0.6,545,0.038,19,30
96,2019,1,5,0,0.6,481,0.035,18,25
97,2019,1,5,1,0.6,433,0.035,23,27
98,2019,1,5,2,0.6,424,0.031,27,31
99,2019,1,5,3,0.6,415,0.02,29,40
100,2019,1,5,4,0.5,414,0.015,51,99
101,2019,1,5,5,0.7,438,0.021,35,47
102,2019,1,5,6,0.8,465,0.043,52,62
103,2019,1,5,7,0.8,472,0.05,62,93
104,2019,1,5,8,0.8,485,0.047,67,110
105,2019,1,5,9,0.8,518,0.044,61,82
106,2019,1,5,10,0.8,562,0.046,58,75
107,2019,1,5,11,0.7,603,0.042,60,79
108,2019,1,5,12,0.7,651,0.045,44,56
109,2019,1,5,13,0.7,673,0.045,44,64
110,2019,1,5,14,0.8,715,0.049,38,62
111,2019,1,5,15,0.6,771,0.039,52,62
112,2019,1,5,16,0.6,778,0.04,20,43
113,2019,1,5,17,0.6,780,0.046,30,50
114,2019,1,5,18,0.7,770,0.046,29,46
115,2019,1,5,19,0.7,689,0.046,34,51
116,2019,1,5,20,0.7,631,0.047,29,45
117,2019,1,5,21,0.8,634,0.051,24,37
118,2019,1,5,22,0.8,613,0.05,26,36
119,2019,1,5,23,0.8,557,0.047,27,37
120,2019,1,6,0,0.7,479,0.042,27,41
121,2019,1,6,1,0.8,442,0.042,30,37
122,2019,1,6,2,0.7,435,0.039,33,39
123,2019,1,6,3,0.7,433,0.04,35,35
124,2019,1,6,4,0.6,431,0.033,34,35
125,2019,1,6,5,0.6,445,0.032,31,40
126,2019,1,6,6,0.6,459,0.037,34,38
127,2019,1,6,7,0.6,459,0.038,26,35
128,2019,1,6,8,0.6,470,0.038,26,32
129,2019,1,6,9,0.7,499,0.037,30,37
130,2019,1,6,10,0.7,525,0.037,33,41
131,2019,1,6,11,0.6,557,0.038,36,51
132,2019,1,6,12,0.6,591,0.039,33,46
133,2019,1,6,13,0.6,642,0.04,30,43
134,2019,1,6,14,0.6,703,0.04,32,46
135,2019,1,6,15,0.5,717,0.039,27,44
136,2019,1,6,16,0.5,666,0.04,23,44
137,2019,1,6,17,0.6,677,0.041,38,49
138,2019,1,6,18,0.7,651,0.045,26,46
139,2019,1,6,19,0.8,617,0.048,28,47
140,2019,1,6,20,0.8,598,0.049,25,42
141,2019,1,6,21,0.7,572,0.048,24,34
142,2019,1,6,22,0.6,547,0.045,20,36
143,2019,1,6,23,0.5,498,0.038,18,20
144,2019,1,7,0,0.5,443,0.03,15,21
145,2019,1,7,1,0.4,420,0.031,15,21
146,2019,1,7,2,0.5,420,0.034,15,26
147,2019,1,7,3,0.5,419,0.032,19,26
148,2019,1,7,4,0.5,419,0.023,19,23
149,2019,1,7,5,0.5,440,0.029,15,19
150,2019,1,7,6,0.5,472,0.038,16,24
151,2019,1,7,7,0.6,489,0.041,24,31
152,2019,1,7,8,0.6,589,0.042,19,31
153,2019,1,7,9,0.6,582,0.044,21,36
154,2019,1,7,10,0.6,590,0.045,23,43
155,2019,1,7,11,0.6,610,0.042,32,45
156,2019,1,7,12,0.5,661,0.041,19,27
157,2019,1,7,13,0.6,697,0.042,23,28
158,2019,1,7,14,0.7,736,0.046,27,43
159,2019,1,7,15,0.7,675,0.045,35,55
160,2019,1,7,16,0.6,658,0.044,30,42
161,2019,1,7,17,0.6,671,0.047,32,46
162,2019,1,7,18,0.7,747,0.047,33,55
163,2019,1,7,19,0.8,673,0.049,36,58
164,2019,1,7,20,0.7,606,0.046,37,56
165,2019,1,7,21,0.6,569,0.044,27,35
