,datetime-year,month,day,hour,CO,CO2,NO2,PM2.5,PM10
0,2019,1,1,24,0.5,527,0.035,18,17
1,2019,1,1,1,0.4,502,0.031,23,35
2,2019,1,1,2,0.4,457,0.03,17,31
3,2019,1,1,3,0.4,456,0.028,16,21
4,2019,1,1,4,0.4,453,0.033,17,31
5,2019,1,1,5,0.3,486,0.027,22,28
6,2019,1,1,6,0.4,507,0.028,19,19
7,2019,1,1,7,0.3,483,0.032,20,34
8,2019,1,1,8,0.4,504,0.036,16,23
9,2019,1,1,9,0.4,509,0.039,20,26
10,2019,1,1,10,0.4,506,0.035,16,19
11,2019,1,1,11,0.3,503,0.031,15,22
12,2019,1,1,12,0.3,509,0.025,15,23
13,2019,1,1,13,0.3,519,0.025,15,19
14,2019,1,1,14,0.3,520,0.022,10,20
15,2019,1,1,15,0.3,537,0.025,17,12
16,2019,1,1,16,0.3,534,0.029,18,24
17,2019,1,1,17,0.3,540,0.031,18,18
18,2019,1,1,18,0.4,534,0.032,16,18
19,2019,1,1,19,0.4,517,0.035,16,24
20,2019,1,1,20,0.4,514,0.034,19,26
21,2019,1,1,21,0.4,499,0.028,17,22
22,2019,1,1,22,0.4,490,0.031,20,26
23,2019,1,1,23,0.4,488,0.026,18,27
24,2019,1,2,24,0.4,456,0.02,21,27
25,2019,1,2,1,0.3,442,0.019,19,27
26,2019,1,2,2,0.3,436,0.016,20,19
27,2019,1,2,3,0.2,434,0.017,16,19
28,2019,1,2,4,0.2,434,0.015,15,14
29,2019,1,2,5,0.2,450,0.018,13,13
30,2019,1,2,6,0.2,477,0.033,15,14
31,2019,1,2,7,0.3,504,0.042,13,24
32,2019,1,2,8,0.4,569,0.046,16,13
33,2019,1,2,9,0.4,561,0.049,13,18
34,2019,1,2,10,0.4,541,0.046,15,20
35,2019,1,2,11,0.3,546,0.041,13,23
36,2019,1,2,12,0.3,576,0.037,15,21
37,2019,1,2,13,0.3,594,0.038,14,22
38,2019,1,2,14,0,0,0,0,0
39,2019,1,2,15,0,0,0,0,0
40,2019,1,2,16,0.4,610,0.037,12,15
41,2019,1,2,17,0.4,619,0.045,15,14
42,2019,1,2,18,0.4,637,0.047,12,14
43,2019,1,2,19,0.5,601,0.047,11,26
44,2019,1,2,20,0.6,589,0.055,15,23
45,2019,1,2,21,0.5,545,0.049,16,25
46,2019,1,2,22,0.4,527,0.045,18,25
47,2019,1,2,23,0.4,513,0.039,15,19
48,2019,1,3,24,0.4,480,0.033,13,26
49,2019,1,3,1,0.4,448,0.038,19,22
50,2019,1,3,2,0.4,447,0.036,17,20
51,2019,1,3,3,0.3,443,0.031,14,17
52,2019,1,3,4,0.4,442,0.026,14,16
53,2019,1,3,5,0.3,457,0.031,12,19
54,2019,1,3,6,0.3,482,0.042,10,19
55,2019,1,3,7,0.4,506,0.047,14,29
56,2019,1,3,8,0.4,579,0.047,13,20
57,2019,1,3,9,0.5,567,0.049,18,25
58,2019,1,3,10,0.5,561,0.048,16,27
59,2019,1,3,11,0.5,575,0.049,19,29
60,2019,1,3,12,0.5,603,0.048,17,32
61,2019,1,3,13,0.4,603,0.044,15,30
62,2019,1,3,14,0.4,605,0.044,18,26
63,2019,1,3,15,0.4,610,0.045,6,24
64,2019,1,3,16,0.4,634,0.049,9,17
65,2019,1,3,17,0.5,633,0.053,10,23
66,2019,1,3,18,0.7,692,0.055,18,27
67,2019,1,3,19,0.7,652,0.062,20,34
68,2019,1,3,20,0.9,629,0.061,21,36
69,2019,1,3,21,0.8,597,0.06,19,27
70,2019,1,3,22,0.8,596,0.058,18,25
71,2019,1,3,23,0.7,575,0.054,17,22
72,2019,1,4,24,0.6,515,0.046,11,21
73,2019,1,4,1,0.5,478,0.05,12,29
74,2019,1,4,2,0.5,465,0.046,14,23
75,2019,1,4,3,0.4,455,0.04,15,15
76,2019,1,4,4,0.4,456,0.039,11,17
77,2019,1,4,5,0.4,474,0.041,12,18
78,2019,1,4,6,0.5,506,0.048,17,15
79,2019,1,4,7,0.6,539,0.053,19,26
80,2019,1,4,8,0.6,612,0.054,17,27
81,2019,1,4,9,0.6,592,0.053,21,34
82,2019,1,4,10,0.6,576,0.054,18,30
83,2019,1,4,11,0.5,592,0.054,18,31
84,2019,1,4,12,0.5,623,0.051,25,31
85,2019,1,4,13,0.6,625,0.053,23,35
86,2019,1,4,14,0.6,646,0.052,22,37
87,2019,1,4,15,0.6,655,0.052,18,31
88,2019,1,4,16,0.6,661,0.055,23,32
89,2019,1,4,17,0.7,678,0.055,21,37
90,2019,1,4,18,0.8,729,0.056,24,43
91,2019,1,4,19,0.9,680,0.058,27,46
92,2019,1,4,20,0.7,604,0.052,24,46
93,2019,1,4,21,0.6,563,0.047,26,30
94,2019,1,4,22,0.6,560,0.046,17,23
95,2019,1,4,23,0.6,559,0.043,20,28
96,2019,1,5,24,0.5,497,0.039,18,27
97,2019,1,5,1,0.5,464,0.048,21,35
98,2019,1,5,2,0.5,452,0.037,24,24
99,2019,1,5,3,0.4,442,0.033,24,32
100,2019,1,5,4,0.4,440,0.027,29,35
101,2019,1,5,5,0.5,461,0.021,30,37
102,2019,1,5,6,0.6,492,0.038,42,56
103,2019,1,5,7,0.7,495,0.052,58,79
104,2019,1,5,8,0.7,506,0.043,67,91
105,2019,1,5,9,0.7,526,0.049,64,95
106,2019,1,5,10,0.7,543,0.051,56,78
107,2019,1,5,11,0.6,576,0.046,55,77
108,2019,1,5,12,0.6,607,0.049,46,59
109,2019,1,5,13,0.6,615,0.05,44,63
110,2019,1,5,14,0.7,640,0.059,39,58
111,2019,1,5,15,0.4,626,0.045,42,67
112,2019,1,5,16,0.4,639,0.049,25,34
113,2019,1,5,17,0.5,632,0.052,21,37
114,2019,1,5,18,0.5,628,0.052,24,41
115,2019,1,5,19,0.6,594,0.049,25,49
116,2019,1,5,20,0.6,569,0.053,25,39
117,2019,1,5,21,0.6,570,0.056,24,40
118,2019,1,5,22,0.7,571,0.055,28,43
119,2019,1,5,23,0.7,561,0.052,27,40
120,2019,1,6,24,0.6,511,0.045,32,36
121,2019,1,6,1,0.6,470,0.046,32,51
122,2019,1,6,2,0.6,466,0.042,33,38
123,2019,1,6,3,0.6,466,0.046,31,42
124,2019,1,6,4,0.5,461,0.037,31,46
125,2019,1,6,5,0.5,471,0.036,36,43
126,2019,1,6,6,0.5,482,0.04,24,41
127,2019,1,6,7,0.5,481,0.041,28,46
128,2019,1,6,8,0.5,489,0.042,27,32
