year,month,day,hour,CO,CO2,NO2,PM2.5,PM10,HCHO
2019,1,1,24,0.4,525,0.027,18,25,2.6
2019,1,1,1,0.3,498,0.024,18,33,1.9
2019,1,1,2,0.3,460,0.024,22,31,1.8
2019,1,1,3,0.3,459,0.023,17,28,1.6
2019,1,1,4,0.3,456,0.026,20,28,1.5
2019,1,1,5,0.3,497,0.021,23,30,1.6
2019,1,1,6,0.3,535,0.023,19,33,1.6
2019,1,1,7,0.3,482,0.026,24,44,1.6
2019,1,1,8,0.3,478,0.028,14,21,1.6
2019,1,1,9,0.3,505,0.029,15,29,1.5
2019,1,1,10,0.3,524,0.027,18,17,1.5
2019,1,1,11,0.2,540,0.025,15,57,1.6
2019,1,1,12,0.2,563,0.02,17,34,1.7
2019,1,1,13,0.2,587,0.021,16,22,1.8
2019,1,1,14,0.2,593,0.018,12,34,1.8
2019,1,1,15,0.2,613,0.019,13,19,1.8
2019,1,1,16,0.3,619,0.022,15,34,1.8
2019,1,1,17,0.3,616,0.026,13,19,2
2019,1,1,18,0.3,617,0.027,16,25,1.8
2019,1,1,19,0.4,584,0.028,18,35,1.8
2019,1,1,20,0.4,548,0.028,20,27,2
2019,1,1,21,0.3,537,0.024,18,24,1.9
2019,1,1,22,0.3,520,0.024,21,31,1.8
2019,1,1,23,0.3,508,0.02,22,34,1.7
2019,1,2,24,0.3,469,0.016,17,24,1.6
2019,1,2,1,0.3,445,0.014,19,29,1.5
2019,1,2,2,0.2,439,0.025,20,23,1.4
2019,1,2,3,0.2,437,0.021,18,23,1.4
2019,1,2,4,0.2,433,0.011,11,16,1.4
2019,1,2,5,0.2,438,0.019,11,16,1.1
2019,1,2,6,0.2,459,0.031,10,15,1
2019,1,2,7,0.2,466,0.034,11,41,1
2019,1,2,8,0.3,502,0.035,12,19,1
2019,1,2,9,0.4,587,0.034,15,26,1.2
2019,1,2,10,0.3,584,0.032,17,25,1.9
2019,1,2,11,0,0,0,0,0,1.7
2019,1,2,12,0.3,638,0.028,13,28,1.8
2019,1,2,13,0.3,603,0.029,13,23,1.8
2019,1,2,14,0.3,617,0.03,8,26,1.7
2019,1,2,15,0.4,694,0.033,11,25,1.7
2019,1,2,16,0.3,638,0.03,17,32,1.9
2019,1,2,17,0.4,632,0.034,12,28,2
2019,1,2,18,0.5,727,0.035,14,24,2
2019,1,2,19,0.6,623,0.037,13,31,2
2019,1,2,20,0.6,607,0.04,17,25,2.1
2019,1,2,21,0.4,596,0.035,14,27,2.3
2019,1,2,22,0.4,569,0.032,13,28,2.1
2019,1,2,23,0.3,514,0.029,15,35,1.9
2019,1,3,24,0.3,477,0.024,13,20,1.7
2019,1,3,1,0.3,448,0.026,14,26,1.6
2019,1,3,2,0.3,446,0.025,14,27,1.5
2019,1,3,3,0.3,444,0.021,13,26,1.4
2019,1,3,4,0.3,444,0.025,14,20,1.3
2019,1,3,5,0.3,452,0.03,15,20,1.1
2019,1,3,6,0.3,466,0.036,16,22,1.2
2019,1,3,7,0.3,468,0.035,19,31,1.3
2019,1,3,8,0.4,521,0.037,19,26,1.5
2019,1,3,9,0.5,587,0.036,16,35,1.9
2019,1,3,10,0.4,611,0.034,16,38,2.2
2019,1,3,11,0.4,646,0.034,21,45,2.2
2019,1,3,12,0.4,694,0.034,20,34,2.1
2019,1,3,13,0.4,676,0.034,17,25,2.2
2019,1,3,14,0.4,657,0.033,16,33,2.2
2019,1,3,15,0.4,618,0.032,14,27,2.2
2019,1,3,16,0.5,778,0.034,15,25,1.9
2019,1,3,17,0.5,767,0.036,15,26,2.1
2019,1,3,18,0.6,848,0.036,15,27,2.2
2019,1,3,19,0.8,821,0.04,20,38,2.8
2019,1,3,20,1,643,0.043,24,32,2.9
2019,1,3,21,0.8,603,0.041,23,28,2.9
2019,1,3,22,0.8,608,0.041,16,26,2.8
2019,1,3,23,0.6,574,0.039,17,29,2.7
2019,1,4,24,0.5,532,0.035,15,21,2.6
2019,1,4,1,0.4,479,0.038,19,29,2.3
2019,1,4,2,0.3,466,0.033,13,27,2.1
2019,1,4,3,0.3,457,0.03,13,21,2
2019,1,4,4,0.4,460,0.032,15,16,1.7
2019,1,4,5,0.4,472,0.032,22,17,1.5
2019,1,4,6,0.5,489,0.04,18,25,1.9
2019,1,4,7,0.6,503,0.038,21,39,2.4
